Major,Degree Type,Early Career Pay,Mid Career Pay
Petroleum Engineering,Bachelors,97500,212500
Operations Research & Industrial Engineering,Bachelors,98300,191800
Interaction Design,Bachelors,74700,173600
Applied Economics and Management,Bachelors,76500,164400
Building Science,Bachelors,69000,163100
Actuarial Mathematics,Bachelors,70700,160000
Operations Research,Bachelors,92200,160000
Systems Engineering,Bachelors,87000,159100
Optical Science & Engineering,Bachelors,79600,158300
Information & Computer Science,Bachelors,76000,157800
Aeronautics & Astronautics,Bachelors,88200,156900
Aerospace Studies,Bachelors,62600,154300
Pharmacy,Bachelors,69400,154000
Cognitive Science,Bachelors,78000,153800
Managerial Economics,Bachelors,74700,153300
Quantitative Economics,Bachelors,74500,152700
Econometrics,Bachelors,72000,152100
Foreign Affairs,Bachelors,62900,152000
Chemical Engineering,Bachelors,85600,151800
Public Accounting,Bachelors,69700,151200
Political Economy,Bachelors,73100,150600
Corporate Accounting & Finance,Bachelors,76800,149600
Actuarial Science,Bachelors,76700,149000
Computer Engineering (CE),Bachelors,89100,148500
Electrical Power Engineering,Bachelors,84700,148300
Computer Science (CS) & Engineering,Bachelors,90500,148200
Marine Transportation Management,Bachelors,78700,148000
Marine Engineering,Bachelors,87900,147500
Operations & Information Systems Management,Bachelors,78800,147500
Electrical & Computer Engineering (ECE),Bachelors,88100,147000
Entrepreneurship & Marketing,Bachelors,63200,145800
Astronomy,Bachelors,75300,145600
Mechatronics,Bachelors,80900,144300
Computational & Applied Mathematics,Bachelors,85700,144100
Aeronautical Engineering,Bachelors,84200,143400
Welding Engineering,Bachelors,86600,143300
Electrical Engineering (EE),Bachelors,84900,143000
Electrical & Electronics Engineering (EEE),Bachelors,83900,142900
Naval Architecture & Marine Engineering,Bachelors,82800,142800
Instrumentation & Control Engineering,Bachelors,82800,141900
Construction Engineering Management,Bachelors,78100,141800
Computer Science (CS) & Mathematics,Bachelors,80300,141000
Engineering Physics,Bachelors,78600,140300
Mechanical & Aeronautical Engineering,Bachelors,80900,139900
Chemical & Biomolecular Engineering,Bachelors,86000,139700
Computer Science (CS),Bachelors,85400,139700
Jazz Studies,Bachelors,60000,139400
Bioscience,Bachelors,59900,139300
Information Management,Bachelors,67000,139000
Aerospace Engineering,Bachelors,83500,138100
Ocean Engineering (OE),Bachelors,78500,137800
Pharmacology,Bachelors,63500,137800
Nuclear Engineering,Bachelors,85200,137600
Bioengineering (BioE),Bachelors,79500,137300
Applied Mathematics,Bachelors,77200,137000
Paper Science,Bachelors,84900,136500
Physician Assistant Studies,Bachelors,109600,136500
Materials Science,Bachelors,76700,136200
Engineering,Bachelors,77800,135800
Industrial & Systems Engineering,Bachelors,82000,135700
Metallurgical Engineering,Bachelors,90800,135500
Materials Science & Engineering,Bachelors,81200,135300
Mining Engineering,Bachelors,87400,135200
Operations Management & Information Systems,Bachelors,75900,134900
Business & Information Technology (IT),Bachelors,71400,134700
Interactive Media Design,Bachelors,59600,134400
Energy Management,Bachelors,70100,134100
Physics,Bachelors,75500,134100
Materials Engineering,Bachelors,81200,133900
Biomedical Engineering (BME),Bachelors,80300,133500
Industrial Engineering (IE),Bachelors,80500,133400
Software Engineering,Bachelors,84200,133400
Global & International Studies,Bachelors,59400,133300
Computer & Information Science,Bachelors,72600,133100
Aeronautical/Aerospace Engineering Technology,Bachelors,82400,132800
Economics and Mathematics,Bachelors,77100,132700
Industrial Hygiene,Bachelors,65100,132700
Engineering Mechanics,Bachelors,82800,131900
Business & Economics,Bachelors,66500,131700
Astrophysics,Bachelors,78600,131200
Electronics Engineering,Bachelors,77700,130900
Telecommunications Engineering,Bachelors,78000,130900
International Business & Finance,Bachelors,69000,130800
International Economics,Bachelors,66200,130600
Business Analysis,Bachelors,71000,130300
Management Science,Bachelors,73000,130300
Mechanical Engineering (ME),Bachelors,79600,130300
Economics,Bachelors,70500,130200
Ceramic Engineering,Bachelors,76400,129900
Management Information Systems (MIS),Bachelors,73900,129500
Industrial Distribution,Bachelors,71400,129200
Structural Engineering (SE),Bachelors,76200,128900
Accounting & Taxation,Bachelors,61900,128600
Integrated Science & Technology,Bachelors,71600,128400
Automotive Engineering,Bachelors,75700,128300
Mathematics & Statistics,Bachelors,71800,128100
Packaging Science,Bachelors,78600,127600
Construction Project Management,Bachelors,69400,127400
Plastics Engineering,Bachelors,79200,127200
Information & Decision Sciences,Bachelors,73200,126800
Applied Physics,Bachelors,75800,126500
Building Construction (BC),Bachelors,73200,125900
Petroleum Land Management,Bachelors,66600,125900
Industrial Engineering & Management,Bachelors,74800,125700
Accounting & Economics,Bachelors,74500,125400
Psychobiology,Bachelors,58600,125400
Finance & Economics,Bachelors,70300,124800
Medicine,Bachelors,88700,124700
Asian Studies,Bachelors,53100,123800
Marketing & International Business,Bachelors,59600,123500
Government,Bachelors,63500,123400
Business Computer Information Systems (BCIS),Bachelors,74200,123300
Finance & Real Estate,Bachelors,73500,123300
Biochemistry & Molecular Biology,Bachelors,61700,123100
Environmental Health & Safety Management,Bachelors,67500,123100
Financial Economics,Bachelors,70500,123100
Business Economics,Bachelors,66500,122800
Nuclear Engineering Technology (NET),Bachelors,92500,122800
Mathematics,Bachelors,72300,122700
Civil Engineering (CE),Bachelors,73400,122600
Business Information Systems,Bachelors,73800,122200
Information Systems Management,Bachelors,69500,122200
Polymer Science & Engineering,Bachelors,82900,122200
Information Security & Assurance,Bachelors,70000,122000
Applied Economics,Bachelors,69200,122000
International Management,Bachelors,63100,121900
Political Communication,Bachelors,56000,121900
Economics & Political Science,Bachelors,64200,121900
Accounting & Computer Systems,Bachelors,75400,121800
Civil & Environmental Engineering,Bachelors,73500,121800
Construction Management,Bachelors,71800,121800
Construction Science,Bachelors,77500,121800
Control Engineering,Bachelors,77700,121700
Russian Studies,Bachelors,56500,121600
Cybersecurity,Bachelors,72600,121500
Robotics & Automation,Bachelors,72700,121200
Computer Management Information Systems (CMIS),Bachelors,63900,121100
Aeronautical Science,Bachelors,64200,121000
Manufacturing Engineering,Bachelors,77500,121000
Information Systems (IS),Bachelors,73000,120600
Engineering Management,Bachelors,77400,120500
Computing & Information Systems (CIS),Bachelors,68900,120000
Mechanical,Bachelors,79800,119900
Business Logistics & Transportation,Bachelors,64700,119800
Biosystems Engineering,Bachelors,72600,119500
Agricultural Economics,Bachelors,61700,119400
Data Processing,Bachelors,73700,119300
Food Marketing,Bachelors,65000,119300
Geophysics,Bachelors,62700,119300
Management & Finance,Bachelors,64100,118800
Business Finance,Bachelors,65200,118600
Construction Engineering,Bachelors,75700,118600
Organic Chemistry,Bachelors,50600,118600
Real Estate,Bachelors,69400,118500
Finance,Bachelors,68500,118400
Plastics Engineering Technology,Bachelors,73600,118400
European Studies,Bachelors,60900,118100
Safety Science,Bachelors,70000,118100
Computer Science & Information Technology,Bachelors,73500,118000
Japanese Language,Bachelors,59900,117900
Information Sciences and Technology,Bachelors,72900,117800
International Business,Bachelors,63100,117800
Architectural Engineering,Bachelors,74600,117700
International Marketing,Bachelors,66700,117600
Molecular Biology,Bachelors,61700,117600
Building Construction Management,Bachelors,70500,117500
Business Operations,Bachelors,71300,117400
Computer Information Systems (CIS),Bachelors,69400,117300
Electrical Engineering Technology (EET),Bachelors,74000,117300
Government & International Politics (GVIP),Bachelors,58100,117200
Information Security,Bachelors,75000,117100
East Asian Studies,Bachelors,57500,116900
Strategic Management,Bachelors,74900,116700
Labor Relations,Bachelors,55700,116600
Entrepreneurship & Leadership,Bachelors,64300,116400
Agricultural Engineering (AE),Bachelors,71500,116300
Information Technology Management,Bachelors,71900,116100
International Relations,Bachelors,60500,116100
Financial Planning,Bachelors,61200,115800
Computer Engineering Technology (CET),Bachelors,71100,115700
Corporate Finance,Bachelors,72400,115700
Engineering Science,Bachelors,77500,115600
European History,Bachelors,59400,115500
Rhetoric,Bachelors,59300,114900
Network Engineering,Bachelors,69400,114600
Mechanical Design,Bachelors,68400,114500
Environmental Engineering,Bachelors,70400,114400
Chinese Language,Bachelors,61000,114000
Robotics,Bachelors,87900,114000
